[runlim] version:		1.10
[runlim] sample:		180.0 time, 180.2 real, 238.7 MB
[runlim] sample:		190.0 time, 190.2 real, 234.7 MB
[runlim] sample:		200.0 time, 200.2 real, 288.8 MB
[runlim] sample:		210.0 time, 210.2 real, 276.0 MB
[runlim] sample:		220.0 time, 220.2 real, 250.6 MB
[runlim] sample:		230.0 time, 230.2 real, 251.3 MB
[runlim] sample:		240.0 time, 240.2 real, 257.1 MB
[runlim] sample:		250.0 time, 250.2 real, 266.8 MB
[runlim] sample:		260.0 time, 260.2 real, 232.9 MB
[runlim] sample:		270.0 time, 270.2 real, 248.8 MB
[runlim] sample:		280.0 time, 280.2 real, 256.1 MB
[runlim] sample:		290.0 time, 290.2 real, 274.2 MB
[runlim] sample:		300.0 time, 300.2 real, 253.5 MB
[runlim] sample:		310.0 time, 310.2 real, 262.5 MB
[runlim] sample:		320.0 time, 320.2 real, 261.4 MB
[runlim] sample:		330.0 time, 330.2 real, 250.3 MB
[runlim] sample:		340.0 time, 340.2 real, 274.0 MB
[runlim] sample:		349.9 time, 350.2 real, 298.3 MB
[runlim] sample:		359.9 time, 360.2 real, 262.6 MB
[runlim] sample:		370.0 time, 370.2 real, 323.6 MB
[runlim] sample:		379.9 time, 380.2 real, 338.7 MB
[runlim] sample:		389.9 time, 390.2 real, 318.1 MB
[runlim] sample:		399.9 time, 400.2 real, 323.0 MB
[runlim] sample:		409.9 time, 410.2 real, 334.2 MB
[runlim] sample:		419.9 time, 420.2 real, 359.3 MB
[runlim] sample:		429.9 time, 430.2 real, 336.5 MB
[runlim] sample:		439.9 time, 440.2 real, 329.5 MB
[runlim] sample:		449.9 time, 450.2 real, 312.0 MB
[runlim] sample:		459.9 time, 460.2 real, 301.7 MB
[runlim] sample:		469.9 time, 470.2 real, 318.2 MB
[runlim] sample:		479.9 time, 480.2 real, 339.0 MB
[runlim] sample:		489.9 time, 490.2 real, 401.8 MB
[runlim] sample:		499.9 time, 500.2 real, 402.1 MB
[runlim] sample:		509.9 time, 510.2 real, 351.4 MB
[runlim] sample:		519.9 time, 520.2 real, 406.4 MB
[runlim] sample:		530.0 time, 530.2 real, 394.3 MB
[runlim] sample:		539.9 time, 540.2 real, 391.1 MB
[runlim] sample:		549.9 time, 550.2 real, 345.0 MB
[runlim] sample:		559.9 time, 560.2 real, 341.6 MB
[runlim] sample:		569.9 time, 570.2 real, 350.6 MB
[runlim] sample:		580.0 time, 580.2 real, 341.6 MB
[runlim] sample:		589.9 time, 590.2 real, 380.7 MB
[runlim] sample:		599.9 time, 600.2 real, 355.8 MB
[runlim] sample:		609.9 time, 610.2 real, 375.4 MB
[runlim] sample:		619.9 time, 620.2 real, 441.5 MB
[runlim] sample:		629.9 time, 630.2 real, 355.4 MB
[runlim] sample:		639.9 time, 640.2 real, 355.4 MB
[runlim] sample:		649.9 time, 650.2 real, 408.2 MB
[runlim] sample:		659.9 time, 660.2 real, 354.0 MB
[runlim] sample:		669.9 time, 670.2 real, 355.5 MB
[runlim] sample:		679.9 time, 680.2 real, 359.7 MB
[runlim] sample:		689.9 time, 690.2 real, 350.9 MB
[runlim] sample:		699.9 time, 700.2 real, 362.6 MB
[runlim] sample:		709.9 time, 710.2 real, 375.8 MB
[runlim] sample:		719.9 time, 720.2 real, 382.1 MB
[runlim] sample:		729.9 time, 730.2 real, 361.1 MB
[runlim] sample:		739.9 time, 740.2 real, 404.8 MB
[runlim] sample:		749.9 time, 750.2 real, 372.7 MB
[runlim] sample:		759.9 time, 760.2 real, 360.4 MB
[runlim] sample:		769.9 time, 770.2 real, 360.4 MB
[runlim] sample:		779.9 time, 780.2 real, 404.9 MB
[runlim] sample:		789.9 time, 790.2 real, 360.4 MB
[runlim] sample:		799.9 time, 800.2 real, 367.3 MB
[runlim] sample:		809.9 time, 810.2 real, 371.4 MB
[runlim] sample:		819.9 time, 820.2 real, 405.6 MB
[runlim] sample:		829.9 time, 830.2 real, 401.7 MB
[runlim] sample:		839.9 time, 840.2 real, 402.8 MB
[runlim] sample:		849.9 time, 850.2 real, 386.8 MB
[runlim] sample:		859.9 time, 860.2 real, 386.8 MB
[runlim] sample:		869.9 time, 870.2 real, 428.4 MB
[runlim] sample:		879.9 time, 880.2 real, 374.8 MB
[runlim] sample:		889.9 time, 890.2 real, 387.1 MB
[runlim] sample:		899.9 time, 900.2 real, 418.8 MB
[runlim] sample:		909.9 time, 910.2 real, 604.1 MB
[runlim] sample:		919.9 time, 920.2 real, 425.9 MB
[runlim] sample:		929.9 time, 930.2 real, 366.5 MB
[runlim] sample:		939.9 time, 940.2 real, 390.2 MB
[runlim] sample:		949.9 time, 950.2 real, 390.2 MB
[runlim] sample:		959.9 time, 960.2 real, 416.9 MB
[runlim] sample:		969.9 time, 970.2 real, 505.5 MB
[runlim] sample:		979.9 time, 980.2 real, 517.8 MB
[runlim] sample:		989.9 time, 990.2 real, 522.8 MB
[runlim] sample:		999.9 time, 1000.2 real, 526.5 MB
[runlim] sample:		1009.9 time, 1010.2 real, 526.5 MB
[runlim] sample:		1019.9 time, 1020.2 real, 584.3 MB
[runlim] sample:		1029.9 time, 1030.2 real, 584.6 MB
[runlim] sample:		1039.9 time, 1040.2 real, 616.3 MB
[runlim] sample:		1049.9 time, 1050.2 real, 616.3 MB
[runlim] sample:		1059.9 time, 1060.2 real, 584.7 MB
[runlim] sample:		1069.9 time, 1070.2 real, 487.9 MB
[runlim] sample:		1079.9 time, 1080.2 real, 487.9 MB
[runlim] sample:		1089.9 time, 1090.2 real, 523.7 MB
[runlim] sample:		1099.9 time, 1100.2 real, 523.7 MB
[runlim] sample:		1109.9 time, 1110.2 real, 523.0 MB
[runlim] sample:		1119.9 time, 1120.2 real, 515.6 MB
[runlim] sample:		1129.9 time, 1130.2 real, 490.6 MB
[runlim] sample:		1139.9 time, 1140.2 real, 495.9 MB
[runlim] sample:		1149.9 time, 1150.2 real, 502.7 MB
[runlim] sample:		1159.9 time, 1160.2 real, 478.9 MB
[runlim] sample:		1169.9 time, 1170.2 real, 498.9 MB
[runlim] sample:		1179.9 time, 1180.2 real, 488.8 MB
[runlim] sample:		1189.9 time, 1190.2 real, 559.2 MB
[runlim] sample:		1199.9 time, 1200.2 real, 554.9 MB
[runlim] sample:		1209.9 time, 1210.2 real, 554.9 MB
[runlim] sample:		1219.9 time, 1220.2 real, 496.3 MB
[runlim] sample:		1229.9 time, 1230.2 real, 491.7 MB
[runlim] sample:		1239.9 time, 1240.2 real, 501.9 MB
[runlim] sample:		1249.9 time, 1250.2 real, 490.2 MB
[runlim] sample:		1259.9 time, 1260.2 real, 548.3 MB
[runlim] sample:		1269.9 time, 1270.2 real, 548.3 MB
[runlim] sample:		1279.9 time, 1280.2 real, 551.2 MB
[runlim] sample:		1289.9 time, 1290.2 real, 555.5 MB
[runlim] sample:		1299.9 time, 1300.2 real, 514.0 MB
[runlim] sample:		1309.9 time, 1310.2 real, 514.0 MB
[runlim] sample:		1319.9 time, 1320.2 real, 546.7 MB
[runlim] sample:		1329.9 time, 1330.2 real, 546.7 MB
[runlim] sample:		1339.9 time, 1340.2 real, 553.4 MB
[runlim] sample:		1349.9 time, 1350.2 real, 494.5 MB
[runlim] sample:		1359.9 time, 1360.2 real, 532.2 MB
[runlim] sample:		1369.9 time, 1370.2 real, 549.2 MB
[runlim] sample:		1379.9 time, 1380.2 real, 764.5 MB
[runlim] sample:		1389.9 time, 1390.2 real, 574.2 MB
[runlim] sample:		1399.9 time, 1400.2 real, 517.2 MB
[runlim] sample:		1409.9 time, 1410.2 real, 541.5 MB
[runlim] sample:		1419.9 time, 1420.2 real, 504.6 MB
[runlim] sample:		1429.9 time, 1430.2 real, 504.6 MB
[runlim] sample:		1439.9 time, 1440.2 real, 526.5 MB
[runlim] sample:		1449.9 time, 1450.2 real, 520.2 MB
[runlim] sample:		1459.9 time, 1460.2 real, 498.8 MB
[runlim] sample:		1469.9 time, 1470.2 real, 498.8 MB
[runlim] sample:		1479.9 time, 1480.2 real, 509.9 MB
[runlim] sample:		1489.9 time, 1490.2 real, 530.4 MB
[runlim] sample:		1499.9 time, 1500.2 real, 531.5 MB
[runlim] sample:		1509.9 time, 1510.2 real, 531.5 MB
[runlim] sample:		1519.9 time, 1520.2 real, 529.4 MB
[runlim] sample:		1529.9 time, 1530.2 real, 524.6 MB
[runlim] sample:		1539.9 time, 1540.2 real, 514.5 MB
[runlim] sample:		1549.9 time, 1550.2 real, 514.5 MB
[runlim] sample:		1559.9 time, 1560.2 real, 592.1 MB
[runlim] sample:		1569.9 time, 1570.2 real, 592.1 MB
[runlim] sample:		1579.9 time, 1580.2 real, 512.1 MB
[runlim] sample:		1589.9 time, 1590.2 real, 569.1 MB
[runlim] sample:		1599.9 time, 1600.2 real, 569.1 MB
[runlim] sample:		1609.9 time, 1610.2 real, 543.1 MB
[runlim] sample:		1619.9 time, 1620.2 real, 543.1 MB
[runlim] sample:		1629.9 time, 1630.2 real, 594.1 MB
[runlim] sample:		1639.9 time, 1640.2 real, 517.5 MB
[runlim] sample:		1649.9 time, 1650.2 real, 507.4 MB
[runlim] sample:		1659.9 time, 1660.2 real, 551.0 MB
[runlim] sample:		1669.9 time, 1670.2 real, 551.0 MB
[runlim] sample:		1679.9 time, 1680.2 real, 519.4 MB
[runlim] sample:		1689.9 time, 1690.2 real, 506.9 MB
[runlim] sample:		1699.9 time, 1700.2 real, 518.6 MB
[runlim] sample:		1709.9 time, 1710.2 real, 565.4 MB
[runlim] sample:		1719.9 time, 1720.2 real, 501.4 MB
[runlim] sample:		1729.9 time, 1730.2 real, 501.4 MB
[runlim] sample:		1739.9 time, 1740.2 real, 537.5 MB
[runlim] sample:		1749.9 time, 1750.2 real, 537.5 MB
[runlim] sample:		1759.9 time, 1760.2 real, 525.7 MB
[runlim] sample:		1769.9 time, 1770.2 real, 525.7 MB
[runlim] sample:		1779.9 time, 1780.2 real, 617.5 MB
[runlim] sample:		1789.9 time, 1790.2 real, 539.7 MB
c Signal interruption.
[runlim] end:			Tue Dec 10 04:57:37 2024
[runlim] status:		out of time
[runlim] result:		2
[runlim] children:		0
[runlim] real:			1800.04 seconds
[runlim] time:			1799.67 seconds
[runlim] space:			848.4 MB
[runlim] samples:		17998
